ID_ZLECENIA_PALONA;DTZAPIS;ILOSC_PALONA;NUMERZASYPU;IDZLECENIE;NUMERPIECA;Anulowany;Zagubiona;SUMA_ZIELONEJ;QuantityError;PREV_ILOSC_PALONA;Posted;ZbiornikKawyPalonej;LockedByEditor;dtLastEdited;ExternalErrorCleaner;READJUSTED_BY;TruckNo1;TruckNo2;dtRoastingStart;dtRoastingFinish;ikWh_counter_start;ikWh_counter_finish;im3_counter_start;im3_counter_finish;ikWh_multiplier;im3_multiplier;ikWh_unit_name;im3_unit_name;ikWh_consumption;im3_consumption;ikWh_counter1_start;ikWh_counter1_finish;ikWh_multiplier1;ikWh_unit_name1;ikWh_consumption1;ikWh_total_consumption;lTriggerCounter
1206810;2024-01-10 09:06:00.880;0;8;138624;4000;0;NULL;0;1;0;0;639;NULL;2024-01-10 09:06:00.883;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
1206809;2024-01-10 08:59:02.527;0;9;138623;3000;0;NULL;0;1;0;0;654;NULL;2024-01-10 08:59:02.530;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
1206808;2024-01-10 08:57:40.677;0;7;138624;4000;0;NULL;0;1;0;0;639;NULL;2024-01-10 08:57:40.680;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
1206807;2024-01-10 08:49:11.593;0;6;138624;4000;0;NULL;600,1;1;0;0;639;NULL;2024-01-10 09:07:42.783;NULL;NULL;NULL;NULL;2024-01-10 09:05:27.200;2024-01-10 09:07:42.780;3858704;3858708;15141219;15141693;1;1;kWh;m3;4;474;10921971;10922040;0,01;kWh;0,69;4,69;NULL
1206806;2024-01-10 08:48:14.330;0;8;138623;3000;0;NULL;400,3;1;0;0;654;NULL;2024-01-10 09:07:42.883;NULL;NULL;NULL;NULL;2024-01-10 08:58:30.220;2024-01-10 09:07:42.883;1115853;1115876;502547;502555;1;1;kWh;m3;23;8;NULL;NULL;NULL;NULL;NULL;23;NULL
1206805;2024-01-10 08:37:04.977;336;7;138623;3000;0;NULL;400,3;0;336;1;649;NULL;2024-01-10 09:06:50.723;NULL;NULL;3;NULL;2024-01-10 08:47:43.800;2024-01-10 08:57:29.840;1115829;1115851;502539;502547;1;1;kWh;m3;22;8;NULL;NULL;NULL;NULL;NULL;22;313
1206804;2024-01-10 08:35:09.410;0;5;138624;4000;0;NULL;600,2;1;0;0;639;NULL;2024-01-10 09:05:04.503;NULL;NULL;NULL;NULL;2024-01-10 08:57:22.490;2024-01-10 09:05:04.500;3858693;3858704;15139913;15141219;1;1;kWh;m3;11;1306;10921766;10921965;0,01;kWh;1,99;12,99;NULL
1206803;2024-01-10 08:26:30.023;336,2;6;138623;3000;0;NULL;400,3;0;336,2;0;653;NULL;2024-01-10 08:54:52.600;NULL;NULL;NULL;NULL;2024-01-10 08:36:16.630;2024-01-10 08:46:05.667;1115803;1115825;502530;502538;1;1;kWh;m3;22;8;NULL;NULL;NULL;NULL;NULL;22;311
1206802;2024-01-10 08:16:05.110;337,6;5;138623;3000;0;NULL;400,4;0;337,6;1;653;NULL;2024-01-10 08:47:51.083;NULL;NULL;NULL;NULL;2024-01-10 08:25:51.053;2024-01-10 08:35:44.087;1115780;1115802;502522;502530;1;1;kWh;m3;22;8;NULL;NULL;NULL;NULL;NULL;22;309
1206801;2024-01-10 08:05:40.480;338,3;4;138623;3000;0;NULL;400,3;0;338,3;1;653;NULL;2024-01-10 08:42:50.150;NULL;NULL;NULL;NULL;2024-01-10 08:15:28.040;2024-01-10 08:25:10.550;1115756;1115779;502514;502522;1;1;kWh;m3;23;8;NULL;NULL;NULL;NULL;NULL;23;307
1206800;2024-01-10 07:59:20.157;515;4;138624;4000;0;NULL;600,5;0;515;1;640;NULL;2024-01-10 09:02:50.203;NULL;NULL;NULL;NULL;2024-01-10 08:48:28.817;2024-01-10 08:56:34.720;3858681;3858692;15138576;15139913;1;1;kWh;m3;11;1337;10921322;10921744;0,01;kWh;4,22;15,22;2044
1206799;2024-01-10 07:55:18.143;338,2;3;138623;3000;0;NULL;400,3;0;338,2;1;654;NULL;2024-01-10 08:23:52.613;NULL;NULL;NULL;NULL;2024-01-10 08:05:08.337;2024-01-10 08:14:49.593;1115732;1115755;502506;502514;1;1;kWh;m3;23;8;NULL;NULL;NULL;NULL;NULL;23;305
